wavelength xatm
8030.0 0.983299970626831
8055.0 0.9800999760627747
8080.0 0.9702000021934509
8105.0 0.9524000287055969
8130.0 0.9284999966621399
8155.0 0.9075000286102295
8180.0 0.8931000232696533
8205.0 0.8852999806404114
8230.0 0.8842999935150146
8255.0 0.8902000188827515
8280.0 0.9032999873161316
8305.0 0.9241999983787537
8330.0 0.9483000040054321
8355.0 0.9591000080108643
8380.0 0.9575999975204468
8405.0 0.9567000269889832
8430.0 0.9563999772071838
8455.0 0.9564999938011169
8480.0 0.9569000005722046
8505.0 0.9575999975204468
8530.0 0.9584000110626221
8555.0 0.9592000246047974
8580.0 0.9598000049591064
8605.0 0.9602000117301941
8630.0 0.9603000283241272
8655.0 0.9599000215530396
8680.0 0.9592999815940857
8705.0 0.9585999846458435
